text
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Project Makeover on my phone"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), I like Sonic Adventure 2:Battle, Super Mario Sunshine and Super Smash Bros Melee along with the sims because they’re games from my childhood I loved"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Other, Indie Visual or platformer"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Other"
"Survival games (Minecraft, Valheim, Rust...), RP servers (GTA RP servers, Minecraft RP, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Other"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Real time strategy(starcraft, c&c)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Teamwork multiplayer games."
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Other"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Grand Startegy"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Life Sims, Multi player RPGs"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Sandbox games (not necessarily survival)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Exploration"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), Horror: titles including voices of the void, Mouthwashing, Alien isolation, etc"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), RP servers (GTA RP servers, Minecraft RP, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Grand Strategy"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), JRPG, platformers"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Metroidvanias and roguelikes"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), RP servers (GTA RP servers, Minecraft RP, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), RP servers (GTA RP servers, Minecraft RP, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Commerce games like Lemonade Tycoon. Casual games like Candy Crush"
"Cozy games (Stardew valley, Animal Crossing, ...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Simulation games (the Sims, Dwarf fortress, ...), I really like Emily is Away, I don't know in which category it goes"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Multiplayer fps"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Visual novels"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Other"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...),"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Shooter"
"Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Other, Puzzle games"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...), RP servers (GTA RP servers, Minecraft RP, ...), Indie games where the mechanic defines it all."
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), FPS"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Shooters in general"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Racing"
"Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), Grand strategy games (EU4, CK3, HOI4...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), Grand strategy"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Story Games"
"Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...), AVNs"
"Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), Strategy (total war type of stuff) and team survival games (wh vermintide l4d2)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...)"
"Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), Other, Story-shooters: RDR2, Borderlands. Let me kill stuff while getting a good story."
"Solo role playing games (Skyrim, Fallout, Avowed...), RP servers (GTA RP servers, Minecraft RP, ...), Other"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Strategy games"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), Other"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Survival games (Minecraft, Valheim, Rust...), RP servers (GTA RP servers, Minecraft RP, ...), MMO RPG"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Grand Strategy"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Other, Pokemon"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Very storydriven games (Assassin's Creed, The Stanley Parable)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Other"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...), Rimworld, Cracktorio, Crusade Kings, HOI4, VIC2, KCD"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), RP servers (GTA RP servers, Minecraft RP, ...), Strategy games"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Other, Choice based story games and mystery/horror"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), I love action games and visual novels too."
"Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Multiplayer FPS"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), RP servers (GTA RP servers, Minecraft RP, ...), Sports"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Photo Mode/Studio games"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Survival games (Minecraft, Valheim, Rust...), RP servers (GTA RP servers, Minecraft RP, ...), Other"
"Cozy games (Stardew valley, Animal Crossing, ...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...)"
"Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...)"
"Simulation games (the Sims, Dwarf fortress, ...), Survival games (Minecraft, Valheim, Rust...), Grand strategy games"
"Solo role playing games (Skyrim, Fallout, Avowed...), Immersive sims (Half-life, Deus-Ex, Dishonored, ...), Simulation games (the Sims, Dwarf fortress, ...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...)"
"Cozy games (Stardew valley, Animal Crossing, ...), Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...)"
"Solo role playing games (Skyrim, Fallout, Avowed...), Survival games (Minecraft, Valheim, Rust...), FPS Solo Campaigns, Light Multiplayer"
"Solo role playing games (Skyrim, Fallout, Avowed...), Simulation games (the Sims, Dwarf fortress, ...), Other"
"Cozy games (Stardew valley, Animal Crossing, ...), Simulation games (the Sims, Dwarf fortress, ...), Other"
